show_title,language,genres,summary
Adolescence,English,"('Drama', 'Crime')",<p><b>Adolescence </b>tells the story of how a family's world is turned upside down when 13-year-old Jamie Miller is arrested and charged with the murder of a teenage girl who goes to his school. </p>
Zero Day,English,"('Thriller',)","<p>George Mullen, a massively popular, but complicated, former American President is pulled from retirement to head a commission tasked with investigating a devastating global cyber-attack.</p><p><b>Zero Day</b> asks the question on everyone's mind — how do we find truth in a world in crisis, one seemingly being torn apart by forces outside our control? And in an era rife with conspiracy theory and subterfuge, how much of those forces are products of our own doing, perhaps even of our own imagining?</p>"
American Murder: Gabby Petito,English,"('Crime',)","<p>What happened in the final days of Gabby Petito's life? In this gripping true-crime series, her loved ones reveal the untold story of her tragic murder.</p>"
My Cousin Rachel,English,"('Drama', 'Romance')","<p>A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.</p>"
Sirens,English,"('Drama', 'Comedy')","<p>Devon thinks her sister Simone has a really creepy relationship with her new boss, the enigmatic socialite Michaela Kell. Michaela's cult-ish life of luxury is like a drug to Simone, and Devon has decided it's time for an intervention, but she has no idea what a formidable opponent Michaela will be. Told over the course of one explosive weekend at The Kells' lavish beach estate, Sirens is an incisive, sexy, and darkly funny exploration of women, power, and class.</p>"
The Night Agent,English,"('Action', 'Thriller', 'Mystery')","<p><b>The Night Agent</b> is a sophisticated, character-based, action-thriller centering on a low-level FBI Agent who works in the basement of the White House, manning a phone that never rings — until the night that it does, propelling him into a fast-moving and dangerous conspiracy that ultimately leads all the way to the Oval Office.</p>"
Ginny & Georgia,English,"('Drama', 'Comedy', 'Crime')","<p>Free-spirited Georgia and her two kids, Ginny and Austin, move north in search of a fresh start but find that the road to new beginnings can be bumpy.</p>"
American Primeval,English,"('Drama', 'Action', 'Western')","<p>A raw, adventurous exploration of the birth of the American West. The violent collisions of cultures, religions and communities as men and women fight and die for control of this new world – for a land they truly believe is their destiny. The ensemble tells a story of the sacrifice all must pay when they choose to enter a lawless and untamed wilderness.</p>"
Running Point,English,"('Comedy', 'Sports')","<p>When a scandal forces her brother to resign, Isla Gordon is appointed President of the Los Angeles Waves, one of the most storied professional basketball franchises, and her family business. Ambitious and often overlooked, Isla will have to prove to her skeptical brothers, the board, and the larger sports community that she was the right choice for the job, especially in the unpredictable, male-dominated world of sports.</p>"
The Four Seasons,English,"('Comedy',)","<p>The decades-long friendship between three married couples is tested when one divorces, complicating their tradition of quarterly weekend getaways.</p>"
American Manhunt: O.J. Simpson,English,"('Crime',)",<p>The white Bronco. The gloves. The trial of the century. This documentary series investigates the shocking murder case that became a cultural phenomenon.</p>
You,English,"('Drama', 'Romance', 'Thriller')","<p>A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.</p>"
"XO, Kitty",English,"('Drama', 'Comedy', 'Romance')",<p>A new love story unfolds when teen matchmaker Kitty reunites with her long-distance boyfriend at the same boarding school attended by her late mother.</p>
The Autistic Gardener,English,"('Nature',)",<p>Autistic garden designer Alan Gardner fixes unruly gardens with his unique garden rescue team.</p>
The Residence,English,"('Comedy', 'Crime', 'Mystery')","<p><b>The Residence</b> is a screwball whodunnit set in the upstairs, downstairs, and backstairs of the White House, among the eclectic staff of the world's most famous mansion. 132 rooms. 157 suspects. One dead body. One wildly eccentric detective. One disastrous State Dinner.</p>"
