week,weekly_rank,show_title,weekly_hours_viewed,weekly_views,cumulative_weeks_in_top_10
2025-09-28,1,KPop Demon Hunters,32200000,19300000,15
2025-09-28,2,Ruth & Boaz,15900000,10300000,1
2025-09-28,3,The Wrong Paris,13500000,7600000,3
2025-09-28,4,Man on Fire,15700000,6500000,5
2025-09-28,5,Sonic the Hedgehog 3,11200000,6100000,2
2025-09-28,6,Seventh Son,8400000,4900000,1
2025-09-28,7,San Andreas,6800000,3600000,1
2025-09-28,8,28 Years Later,6200000,3200000,1
2025-09-28,9,The Curse of La Llorona,4900000,3200000,1
2025-09-28,10,aka Charlie Sheen,8400000,2800000,3
