week,weekly_rank,show_title,weekly_hours_viewed,weekly_views,cumulative_weeks_in_top_10
2025-09-28,1,KPop Demon Hunters,32200000,19300000,15
2025-09-28,2,Ruth & Boaz,15900000,10300000,1
2025-09-28,3,The Wrong Paris,13500000,7600000,3
2025-09-28,4,Man on Fire,15700000,6500000,5
2025-09-28,5,Sonic the Hedgehog 3,11200000,6100000,2
2025-09-28,6,Seventh Son,8400000,4900000,1
2025-09-28,7,San Andreas,6800000,3600000,1
2025-09-28,8,28 Years Later,6200000,3200000,1
2025-09-28,9,The Curse of La Llorona,4900000,3200000,1
2025-09-28,10,aka Charlie Sheen,8400000,2800000,3
2025-09-21,1,The Wrong Paris,38900000,21800000,2
2025-09-21,2,KPop Demon Hunters,35400000,21200000,14
2025-09-21,3,Ice Road: Vengeance,14400000,7600000,1
2025-09-21,4,aka Charlie Sheen,21800000,7200000,2
2025-09-21,5,The Mule,10900000,6400000,2
2025-09-21,6,Unknown Number: The High School Catfish,7100000,4500000,4
2025-09-21,7,The Thursday Murder Club,7800000,3900000,4
2025-09-21,8,Sonic the Hedgehog 3,6300000,3400000,1
2025-09-21,9,War Dogs,5800000,3100000,1
2025-09-21,10,Terror Comes Knocking: The Marcela Borges Story,4000000,2800000,1
2025-09-14,1,KPop Demon Hunters,37700000,22600000,13
2025-09-14,2,The Wrong Paris,22900000,12800000,1
2025-09-14,3,Unknown Number: The High School Catfish,18500000,11700000,3
2025-09-14,4,aka Charlie Sheen,29500000,9700000,1
2025-09-14,5,The Thursday Murder Club,14100000,7100000,3
2025-09-14,6,Shrek,4400000,2900000,14
2025-09-14,7,The Negotiator,6500000,2800000,1
2025-09-14,8,Along Came a Spider,4400000,2500000,1
2025-09-14,9,Shrek 2,3900000,2500000,7
2025-09-14,10,Paw Patrol: The Movie,3300000,2300000,15
2025-09-07,1,Unknown Number: The High School Catfish,41700000,26300000,2
2025-09-07,2,KPop Demon Hunters,42400000,25400000,12
2025-09-07,3,The Thursday Murder Club,37300000,18700000,2
2025-09-07,4,The Woman King,9000000,4000000,3
2025-09-07,5,Shrek,5400000,3600000,13
2025-09-07,6,Shrek the Third,5200000,3300000,3
2025-09-07,7,Paw Patrol: The Movie,4100000,2900000,14
2025-09-07,8,Shrek 2,4400000,2800000,6
2025-09-07,9,Wind River,4900000,2700000,1
2025-09-07,10,Good Will Hunting,5700000,2700000,1
2025-08-31,1,KPop Demon Hunters,50200000,30100000,11
2025-08-31,2,The Thursday Murder Club,49300000,24700000,1
2025-08-31,3,Unknown Number: The High School Catfish,13600000,8600000,1
2025-08-31,4,Transformers: Rise of the Beasts,12400000,5900000,3
2025-08-31,5,The Art of Racing in the Rain,8100000,4400000,1
2025-08-31,6,Paw Patrol: The Movie,6300000,4400000,13
2025-08-31,7,Home,5800000,3700000,10
2025-08-31,8,The Northman,8200000,3600000,1
2025-08-31,9,Welcome to Sudden Death,4700000,3500000,2
2025-08-31,10,The Truth About Jussie Smollett?,4700000,3200000,1
2025-08-24,1,KPop Demon Hunters,42400000,25400000,10
2025-08-24,2,Night Always Comes,22500000,12300000,2
2025-08-24,3,Welcome to Sudden Death,8300000,6200000,1
2025-08-24,4,My Oxford Year,11200000,5900000,4
2025-08-24,5,Home,8900000,5700000,9
2025-08-24,6,Happy Gilmore 2,8800000,4500000,5
2025-08-24,7,Taxi,7000000,4300000,1
2025-08-24,8,Paw Patrol: The Movie,5000000,3500000,12
2025-08-24,9,The Client,6300000,3100000,1
2025-08-24,10,Blended,5900000,3000000,1
2025-08-17,1,KPop Demon Hunters,43300000,26000000,9
2025-08-17,2,Night Always Comes,20800000,11300000,1
